,sg_symbol,sg_number
mp-20845,Fd-3m,227
mp-510422,Pbca,61
mp-28156,P-1,2
mp-767064,P1,1
mp-773528,P2_1,4
mp-556635,P2_1/c,14
mp-25436,P-1,2
mp-558694,Pm-3m,221
mp-680696,Pnma,62
mp-570080,P2_1/c,14
mp-778314,Pmmn,59
mp-22870,Cmcm,63
mp-610491,Pnma,62
mp-561433,P6_3/mmc,194
mp-556515,Pnma,62
mp-776709,P-1,2
mp-650674,Pbcn,60
mp-777417,Cm,8
mp-743854,P-1,2
mp-937760,Fmmm,69
mp-40066,Pc,7
mp-765913,Cmcm,63
mp-13001,Fm-3m,225
mp-978829,I4/mmm,139
mp-28153,P-4m2,115
mp-643154,P2_1/c,14
mp-972058,Pm-3m,221
mp-24858,Fm-3m,225
mp-628637,Pmmn,59
mp-540619,P2_1/c,14
mp-19458,Cmce,64
mp-24383,I4_1/acd,142
mp-775731,Pca2_1,29
mp-772070,P2_1,4
mp-763829,Ama2,40
mp-30523,C2/c,15
mp-744975,P4/mmm,123
mp-684641,Cm,8
mp-17908,Pnma,62
mp-557865,Im-3,204
mp-541895,C2/c,15
mp-780371,P-1,2
mp-25638,P2_1/m,11
mp-763137,Pm,6
mp-560561,P2_1/c,14
mp-755868,P1,1
mp-13429,P4/mbm,127
mp-10039,Pm-3m,221
mp-756018,P3_121,152
mp-28788,Pnma,62
mp-760502,Cmcm,63
mp-25716,C2/c,15
mp-779989,P2_1/c,14
mp-31604,P2_1/c,14
mp-762488,P4_2bc,106
mp-28742,C2/m,12
mp-704255,P2_1/c,14
mp-8949,P6_3/mmc,194
mp-17878,Pnma,62
mp-648140,P2_1/c,14
mp-20820,Pa-3,205
mp-7638,C2/c,15
mp-1694,Pnma,62
mp-628599,P4/mmm,123
mp-762623,P6_422,181
mp-585175,Pbcm,57
mp-609229,P2_1/m,11
mp-510545,P2_1/c,14
mp-569251,I4/mcm,140
mp-644334,P-1,2
mp-771520,Cm,8
mp-771305,P1,1
mp-29549,P2_1/c,14
mp-2793,C2/m,12
mp-1581,P2_1/c,14
mp-603251,Pm-3m,221
mp-772580,R3,146
mp-558144,P2_1/c,14
mp-779362,P-1,2
mp-1043,Fd-3m,227
mp-505750,P2_1/c,14
mp-19722,I-42m,121
mp-851064,C2,5
mp-972236,Fm-3m,225
mp-3708,P6_3/m,176
mp-771715,C2/m,12
mp-10334,P6_3/mmc,194
mp-779086,C2/c,15
mp-850157,P2_1,4
mp-770620,P1,1
mp-569274,P4_12_12,92
mp-554850,P2_1/c,14
mp-1811,Fm-3m,225
mp-772548,R-3c,167
mp-764303,Cmc2_1,36
mp-31927,C222_1,20
mp-15895,Cc,9
mp-769550,Cc,9
mp-680610,C2/m,12
mp-560386,Cc,9
mp-3316,Imma,74
mp-17853,P6_3cm,185
mp-766801,P2,3
mp-972557,P6_3/mmc,194
mp-772087,I-43m,217
mp-510605,Fd-3m,227
mp-30721,P4/mbm,127
mp-960,P6/mmm,191
mp-774455,Pbcn,60
mp-20380,Pnma,62
mp-18952,Cmce,64
mp-29334,Pnma,62
mp-30530,F-43m,216
mp-558065,P2_1/c,14
mp-3896,P4/nmm,129
mp-776657,Pnnm,58
mp-542386,C2/c,15
mp-697114,P1,1
mp-617291,P6_3/mcm,193
mp-761803,Fmm2,42
mp-754382,P6/mmm,191
mp-766888,I-4,82
mp-768971,I2_13,199
mp-510098,P6/mmm,191
mp-5955,Fm-3m,225
mp-11281,P6_3/mmc,194
mp-567789,P2_1/c,14
mp-770144,P1,1
mp-27855,P2_1/m,11
mp-34185,I-42d,122
mp-770537,Cc,9
mp-774390,P4_32_12,96
mp-640564,C2/c,15
mp-504801,P2_1/m,11
mp-776861,Pnma,62
mp-766862,P-31m,162
mp-762863,Cmmm,65
mp-20599,I4/mcm,140
mp-759334,P6_422,181
mp-697181,P2_1/m,11
mp-557327,Ia-3d,230
mp-2279,Pm-3m,221
mp-565747,P2_1/c,14
mp-16699,P2_1/c,14
mp-28062,P2_1/m,11
mp-762760,C2/m,12
mp-565206,C2/c,15
mp-541289,P2_1/m,11
mp-776047,R3,146
mp-763186,P31c,159
mp-504907,P2/c,13
mp-2067,I4_1/amd,141
mp-755731,Fd-3m,227
mp-754502,R-3m,166
mp-774111,Pmn2_1,31
mp-770942,Pmc2_1,26
mp-546118,F-43m,216
mp-765185,Pnma,62
mp-5414,C2/c,15
mp-3804,I4/mmm,139
mp-504806,Immm,71
mp-769761,Fm-3m,225
mp-866869,P2_1/c,14
mp-773069,Pnma,62
mp-771530,Pm,6
mp-972112,P2_1/c,14
mp-761371,P2_1/m,11
mp-10965,P4/nmm,129
mp-767016,Cm,8
mp-755252,P6_3/mmc,194
mp-1036,Fd-3m,227
mp-12947,P6_3/mmc,194
mp-504618,P2_1/c,14
mp-773686,P1,1
mp-8507,C2/c,15
mp-3165,P4/nmm,129
mp-13907,R-3,148
mp-755740,Pnma,62
mp-763570,P1,1
mp-777894,Pnna,52
mp-8931,Ibam,72
mp-9600,I4_1/amd,141
mp-655631,R3,146
mp-979114,Pm-3m,221
mp-17449,I-4,82
mp-759001,P1,1
mp-853154,Imm2,44
mp-771615,Imma,74
mp-776862,P2_12_12_1,19
mp-976923,Pm-3m,221
mp-770578,P2/c,13
mp-570062,P2/m,10
mp-643364,C2/m,12
mp-559408,R-3,148
mp-851110,P-1,2
mp-761307,Pa-3,205
mp-6488,Pna2_1,33
mp-559135,P2_1/c,14
mp-770162,P2_1/c,14
mp-705892,P2_1/c,14
mp-3045,P6/mmm,191
mp-776684,Pna2_1,33
mp-18199,Pnma,62
mp-28395,R-3m,166
mp-22499,P2_1,4
mp-743696,I4_1/acd,142
mp-542818,Cm,8
mp-779099,P1,1
mp-775284,P2_13,198
mp-760515,Immm,71
mp-19036,Fd-3m,227
mp-7896,Immm,71
mp-1749,I4/mmm,139
mp-18712,P6_3cm,185
mp-24052,P2_13,198
mp-763497,P1,1
mp-698655,C2,5
mp-752474,Immm,71
mp-11601,R-3m,166
mp-776370,P4_122,91
mp-29845,P3_2,145
mp-510490,Pnma,62
mp-772882,P-1,2
mp-672966,P1,1
mp-7297,P-3m1,164
mp-766914,Imma,74
mp-556210,Pna2_1,33
mp-753626,P2_1/m,11
mp-691168,Ibca,73
mp-545525,P-1,2
mp-760510,P2_1/m,11
mp-756630,Pnma,62
mp-745159,P2_1/m,11
mp-780905,Cm,8
mp-655,P6_3cm,185
mp-570891,Pm-3m,221
mp-645060,P2_1/c,14
mp-765109,P1,1
mp-779472,P1,1
mp-17693,P2_1/c,14
mp-8219,P-3m1,164
mp-28987,P6_3mc,186
mp-542465,P4_12_12,92
mp-571093,P3m1,156
mp-754218,Pnnm,58
mp-17438,P-3m1,164
mp-30665,P-4c2,116
mp-583630,Pnma,62
mp-862893,Immm,71
mp-765225,P1,1
mp-973935,P6/mmm,191
mp-757220,P-1,2
mp-669340,P3m1,156
mp-644925,P1,1
mp-542730,P4_332,212
mp-696088,C2/c,15
mp-763154,R3,146
mp-22979,Pm-3m,221
mp-24130,C2/c,15
mp-770551,P2_1/c,14
mp-642725,P6_3mc,186
mp-782715,Cc,9
mp-17377,P2_1/c,14
mp-29402,P2_1/c,14
mp-770566,Pnma,62
mp-15826,C2/c,15
mp-765931,P4_2/mnm,136
mp-721330,P1,1
mp-631312,F-43m,216
mp-571405,Pm-3m,221
mp-720262,Cc,9
mp-773911,R-3c,167
mp-540444,P31c,159
mp-5409,P2_1/c,14
mp-758770,P2_1,4
mp-569313,F-43m,216
mp-29862,Pnma,62
mp-16264,Pnma,62
mp-976187,I4/mmm,139
mp-626308,P1,1
mp-761424,R3,146
mp-12962,P-62m,189
mp-568157,P2_1/m,11
mp-767894,P1,1
mp-763061,Pna2_1,33
mp-743651,P2_1/c,14
mp-605108,P2_1,4
mp-772999,P2_1/m,11
mp-763297,P-1,2
mp-773342,P1,1
mp-773190,P2_1/m,11
mp-21276,Fm-3m,225
mp-849444,Aem2,39
mp-28829,Pnma,62
mp-505236,P-1,2
mp-8983,Pnma,62
mp-27626,P-43n,218
mp-781671,Fd-3,203
mp-673696,P-1,2
mp-2619,P6_3/mmc,194
mp-12954,I-42d,122
mp-686085,Cm,8
mp-762546,P-1,2
mp-565352,Pnma,62
mp-24161,Fm-3m,225
mp-761405,Cc,9
mp-753830,Ima2,46
mp-17089,P2_1/m,11
mp-558775,I4/m,87
mp-972633,Fm-3m,225
mp-673798,Amm2,38
mp-19897,I4/mmm,139
mp-15316,Cmcm,63
mp-4962,Pmn2_1,31
mp-6507,Ama2,40
mp-770563,P2_1/c,14
mp-781904,P1,1
mp-11207,Cmcm,63
mp-697263,Imma,74
mp-676260,P1,1
mp-767935,P-1,2
mp-556771,P2_12_12_1,19
mp-690711,P2_1/c,14
mp-770014,P2_1/m,11
mp-779823,P6/mcc,192
mp-754128,I4/mmm,139
mp-771916,P2_1/c,14
mp-556374,P-1,2
mp-36,Fm-3m,225
mp-976185,Pm-3m,221
mp-636519,I4_1/amd,141
mp-698549,P2_1,4
mp-761636,R3,146
mp-771794,P1,1
mp-22205,P6_3mc,186
mp-4445,P2_1/c,14
mp-763784,C2,5
mp-758453,C2/c,15
mp-696993,P2_1/c,14
mp-559314,Pbca,61
mp-754358,Cmcm,63
mp-761382,P-1,2
mp-16599,P6_3/mcm,193
mp-13799,Fm-3m,225
mp-27417,P-31c,163
mp-558102,P2_1,4
mp-676815,P2/c,13
mp-10499,P2_1/c,14
mp-759,I4/mmm,139
mp-23097,I4/mmm,139
mp-777428,P4_12_12,92
mp-11012,R-3,148
mp-763128,Pm,6
mp-771657,Cm,8
mp-22546,Pnma,62
mp-555527,C2/c,15
mp-9514,P-3m1,164
mp-752711,P2_1/c,14
mp-14765,Cmce,64
mp-40963,P2_1/c,14
mp-697111,Cmc2_1,36
mp-763082,P1,1
mp-23929,P2_1/c,14
mp-557040,Cc,9
mp-775006,C2/m,12
mp-19318,Fd-3m,227
mp-763324,P1,1
mp-762529,P-1,2
mp-557613,P2_13,198
mp-30565,P6_3mc,186
mp-759324,I23,197
mp-707014,Pbam,55
mp-9951,P-62m,189
mp-566756,Pnma,62
mp-757333,P6_3mc,186
mp-504565,Cmcm,63
mp-19649,P2_1/m,11
mp-504708,P6_3/mmc,194
mp-6578,Ibca,73
mp-25656,P2_1/m,11
mp-757388,P2_12_12_1,19
mp-773215,P2_1,4
mp-16695,P4_2/mnm,136
mp-540460,P-1,2
mp-722896,Pmma,51
mp-975443,Pm-3m,221
mp-775045,P1,1
mp-746778,P-3,147
mp-984744,P6_3/mmc,194
mp-777072,P2_1/c,14
mp-19944,Pm-3m,221
mp-14712,P-43n,218
mp-542808,C2/c,15
mp-556958,Pnnm,58
mp-765843,P1,1
mp-559771,P2_1/c,14
mp-29531,Pnma,62
mp-626263,Pc,7
mp-558071,Immm,71
mp-569100,R-3m,166
mp-768510,Cmce,64
mp-19527,P2_1/c,14
mp-8947,P2_1/c,14
mp-754010,Pmmn,59
mp-1007,Fm-3m,225
mp-560303,Cmcm,63
mp-21464,Pnma,62
mp-560790,Fm-3m,225
mp-540000,C2/m,12
mp-635441,Pa-3,205
mp-777528,R-3,148
mp-766060,P1,1
mp-18197,P2_1/c,14
mp-763992,Amm2,38
mp-780645,P-1,2
mp-117,Fd-3m,227
mp-632657,P-3m1,164
mp-754588,I4_1/a,88
mp-773549,P-1,2
mp-680555,Cc,9
mp-763550,P2_1/c,14
mp-763018,Pm,6
mp-31415,Cmcm,63
mp-642706,Fdd2,43
mp-638141,Pbcm,57
mp-19450,P-3m1,164
mp-782105,P2_1/c,14
mp-781013,P1,1
mp-774373,Pm,6
mp-697183,P-1,2
mp-542874,P2_1/c,14
mp-554461,P-1,2
mp-769786,P-1,2
mp-39440,P2_1/c,14
mp-25739,P2_1/c,14
mp-10204,P6_3/mmc,194
mp-628,I4/mcm,140
mp-29165,P4_2/nnm,134
mp-656850,P-1,2
mp-639727,P6_3/mmc,194
mp-23734,Pbca,61
mp-26248,P1,1
mp-541142,P2_12_12_1,19
mp-769703,P-6,174
mp-779379,P1,1
mp-777702,Pnma,62
mp-763284,Pm,6
mp-566061,P-1,2
mp-775572,P1,1
mp-625392,R-3,148
mp-20262,Pm-3m,221
mp-566662,Pnma,62
mp-782663,Pm,6
mp-8491,P2_1,4
mp-776225,P1,1
mp-558920,Pca2_1,29
mp-558760,Pnma,62
mp-851070,Cc,9
mp-697913,P2_1,4
mp-626136,Pnma,62
mp-642363,Cmcm,63
mp-761190,Cc,9
mp-29198,P2_1,4
mp-773501,C2/m,12
mp-531197,Pnn2,34
mp-846,Fdd2,43
mp-27181,Pc,7
mp-23563,P-1,2
mp-32495,P2_1/c,14
mp-608348,P2/c,13
mp-18866,P4/n,85
mp-632491,Fd-3m,227
mp-542699,Pnma,62
mp-555975,P2_1/c,14
mp-772363,Pm,6
mp-29666,R-3m,166
mp-765942,Pna2_1,33
mp-10026,P6_3/mmc,194
mp-9382,R-3m,166
mp-30873,P6_3/mcm,193
mp-772938,R-3c,167
mp-697076,Fd-3m,227
mp-770125,Pnma,62
mp-25492,C2/c,15
mp-22297,F-43m,216
mp-30475,Pm-3m,221
mp-13182,P4/nmm,129
mp-850141,Amm2,38
mp-849417,P1,1
mp-505510,Pbca,61
mp-25014,R-3,148
mp-28740,P-1,2
mp-618177,Pna2_1,33
mp-760151,P6_122,178
mp-756509,C2/c,15
mp-14383,Pna2_1,33
mp-753858,P2_1,4
mp-974310,Fm-3m,225
mp-698205,P2_1/c,14
mp-13589,P-43m,215
mp-754272,P2_1/c,14
mp-924129,F-43m,216
mp-7954,P6/mmm,191
mp-11787,Cmcm,63
mp-694056,P1,1
mp-765657,Fddd,70
mp-24136,Fm-3,202
mp-566335,P2_1/c,14
mp-31010,P2/c,13
mp-744239,C2/c,15
mp-556335,C2/c,15
mp-23748,P2_1/c,14
mp-771040,P2_1/c,14
mp-851042,Pm,6
mp-22719,Pmmm,47
mp-554155,R-3,148
mp-565671,P2_1/c,14
mp-762011,Imma,74
mp-11854,P6_3/mcm,193
mp-631322,F-43m,216
mp-768674,C2/c,15
mp-695772,C2/c,15
mp-762495,P2_1,4
mp-7868,P6_3mc,186
mp-31636,Pnma,62
mp-28066,P4/nmm,129
mp-5450,C2/c,15
mp-773119,P2_1/m,11
mp-767194,Cm,8
mp-556163,I-42d,122
mp-975015,I4/mmm,139
mp-7331,Fm-3m,225
mp-581775,P1,1
mp-776173,R3,146
mp-559586,Pnma,62
mp-742819,I4_1/amd,141
mp-23361,Cmmm,65
mp-780130,R3,146
mp-779125,P2_1/c,14
mp-772353,R32,155
mp-767930,P1,1
mp-774116,R-3m,166
mp-639910,I-42m,121
mp-561222,Pnnm,58
mp-759116,P6_3/mmc,194
mp-8201,P4/mbm,127
mp-504802,Pnma,62
mp-771904,Fd-3,203
mp-559702,C2/m,12
mp-542266,P-1,2
mp-763650,C2/c,15
mp-558568,C222_1,20
mp-14515,Fddd,70
mp-765786,Imma,74
mp-542251,P-62m,189
mp-695793,P-1,2
mp-679979,Pmmn,59
mp-27380,P-1,2
mp-30596,Amm2,38
mp-554610,Ibam,72
mp-765585,P2_1/c,14
mp-762781,P2_1/c,14
mp-770540,Pnma,62
mp-14088,Fm-3m,225
mp-554108,P-42_1m,113
mp-4730,I-4,82
mp-756090,Cc,9
mp-706982,P2_1/c,14
mp-30085,Fd-3m,227
mp-763211,P1,1
mp-674508,Cc,9
mp-2839,I4/mmm,139
mp-775016,P2_1/m,11
mp-333,Fd-3m,227
mp-5418,C2/c,15
mp-24901,C2/m,12
mp-680842,P6_3/mcm,193
mp-764424,P1,1
mp-667418,P2_1,4
mp-770630,P2/c,13
mp-35311,R-3,148
mp-21249,P4/nmm,129
mp-541740,P2_1/m,11
mp-29943,P2_1/c,14
mp-606470,P1,1
mp-756374,Pm-3n,223
mp-762586,P2_1,4
mp-11441,Fdd2,43
mp-554085,C2/c,15
mp-770931,Imma,74
mp-720254,Pccn,56
mp-777100,P-1,2
mp-12802,Pmmn,59
mp-644092,Fm-3m,225
mp-622491,C2/c,15
mp-10756,F-43m,216
mp-762912,R3,146
mp-569435,P2_1/c,14
mp-982873,Fm-3m,225
mp-569310,I4/mmm,139
mp-18905,I4/mmm,139
mp-1692,P4_2/mmc,131
mp-763108,Pm,6
mp-18129,P-42_1m,113
mp-30681,P4/nbm,125
mp-541272,R-3c,167
mp-37657,P6_3mc,186
mp-18612,Pnma,62
mp-754329,R-3,148
mp-19943,P4/nmm,129
mp-17004,I-42d,122
mp-20622,Pnma,62
mp-558953,P2_1/c,14
mp-9489,P4/nmm,129
mp-761519,P1,1
mp-555996,P2_1/c,14
mp-770979,P1,1
mp-21169,Pbam,55
mp-850956,P2/m,10
mp-775074,Cm,8
mp-556797,R3,146
mp-772302,P2_1/c,14
mp-763195,P-1,2
mp-29102,Pbca,61
mp-5859,P6cc,184
mp-17945,Pca2_1,29
mp-974997,I4/mmm,139
mp-771993,P1,1
mp-554609,P6_3/mmc,194
mp-557762,R-3m,166
mp-634965,P4/mmm,123
mp-722900,Pbca,61
mp-696387,R-3,148
mp-758984,P2_1/c,14
mp-6607,Pnma,62
mp-20730,Fm-3m,225
mp-777742,P2_1/c,14
mp-1999,Fd-3m,227
mp-567567,P-3m1,164
mp-557655,R-3m,166
mp-30223,P6_3/mmc,194
mp-753414,Fd-3m,227
mp-6997,P-3m1,164
mp-779972,R-3m,166
mp-557112,P-43n,218
mp-761588,P6_3mc,186
mp-585397,P2_1/c,14
mp-760799,Pmma,51
mp-763478,P2_1/c,14
mp-721813,P31m,157
mp-759396,Aea2,41
mp-560742,P-1,2
mp-767011,C2/m,12
mp-763688,P1,1
mp-559161,R-3,148
mp-7400,P4/nmm,129
mp-23201,Pm-3m,221
mp-19442,Fm-3m,225
mp-982880,Pm-3m,221
mp-557108,Pbca,61
mp-600055,Amm2,38
mp-973528,Fm-3m,225
mp-17564,Pnma,62
mp-2033,P6_322,182
mp-697974,P-1,2
mp-567389,Fm-3m,225
mp-25960,C2/m,12
mp-542159,Pnma,62
mp-778458,R-3,148
mp-772012,I-4,82
mp-652044,P4_2/n,86
mp-771328,P2_1/c,14
mp-754384,P6_3/mmc,194
mp-25734,P2_1/c,14
mp-559765,Cmc2_1,36
mp-780232,P1,1
mp-541751,Cmcm,63
mp-1799,Fd-3m,227
mp-652001,Pnma,62
mp-773500,Imma,74
mp-15123,I4/m,87
mp-775339,Imma,74
mp-690617,C2/m,12
mp-978501,Fm-3m,225
mp-17829,R-3c,167
mp-19201,Pnma,62
mp-626607,C2/m,12
mp-767242,Pc,7
mp-776830,P-1,2
mp-605056,P2_1/c,14
mp-23713,Pnma,62
mp-505484,Pmmn,59
mp-21065,Pa-3,205
mp-571270,P-6m2,187
mp-771686,I-4m2,119
mp-604725,Pmn2_1,31
mp-849720,P1,1
mp-755251,C2/c,15
mp-1591,R-3m,166
mp-570608,P6_3/mmc,194
mp-1664,Pm-3n,223
mp-642535,P-1,2
mp-647575,Pna2_1,33
mp-684934,C2/m,12
mp-775965,R3,146
mp-29767,P2_1/c,14
mp-29853,Pbca,61
mp-703468,Pbca,61
mp-764190,P-1,2
mp-773136,P1,1
mp-27319,P6_3/mmc,194
mp-5603,Cmce,64
mp-22035,Cmcm,63
mp-572596,C2/m,12
mp-752437,Pnma,62
mp-675896,Cm,8
mp-556443,P6_3/mmc,194
mp-753403,P-1,2
mp-566835,P2_1,4
mp-30295,P-62c,190
mp-767483,P2_1/c,14
mp-35432,Imma,74
mp-568628,C2/m,12
mp-680154,P-3c1,165
mp-18859,P6_3/m,176
mp-640917,P3_221,154
mp-12180,I-42d,122
mp-631482,F-43m,216
mp-766844,P-1,2
mp-29210,Cmcm,63
mp-973964,Fm-3m,225
mp-765848,R-3m,166
mp-558143,P6_3mc,186
mp-3050,Ia-3d,230
mp-699460,P2_1,4
mp-23810,Pbca,61
mp-23012,I2_13,199
mp-758966,C2/c,15
mp-30953,P2_1/c,14
mp-24929,P-1,2
mp-571358,R-3,148
mp-675056,Cm,8
mp-8584,R-3m,166
mp-752569,R-3,148
mp-773931,P-1,2
mp-19055,I4_1/a,88
mp-753751,I4_1/amd,141
mp-772046,Pm,6
mp-767464,P-1,2
mp-550798,C2,5
mp-562442,Pnma,62
mp-22292,P6_3/mmc,194
mp-10091,Ama2,40
mp-18794,P2_1/c,14
mp-768735,P2_1/c,14
mp-976775,Pm-3m,221
mp-1086,Fm-3m,225
mp-4474,F-43m,216
mp-771301,P1,1
mp-556049,P6_3mc,186
mp-622048,P-1,2
mp-765612,Cm,8
mp-552674,P-6m2,187
mp-775008,R3,146
mp-762239,P2_1/c,14
mp-559066,P6_3/m,176
mp-761655,P2/m,10
mp-757349,Pna2_1,33
mp-626365,I4/m,87
mp-771751,P2_1/m,11
mp-562321,Pmmn,59
mp-777678,P2_1/c,14
mp-505702,P2_12_12_1,19
mp-676368,P1,1
mp-30053,Pmmn,59
mp-745175,R-3c,167
mp-770746,P1,1
mp-771431,P1,1
mp-574224,P-43n,218
mp-781014,P1,1
mp-25935,P2_1/c,14
mp-17783,P6_3cm,185
mp-774922,P1,1
mp-699888,P2_13,198
mp-768092,Pna2_1,33
mp-776371,C2/c,15
mp-600604,Fmmm,69
mp-625272,P1,1
mp-17743,Cmcm,63
mp-771683,R-3m,166
mp-779883,P2_1,4
mp-772812,P2_1/c,14
mp-10863,I4/m,87
mp-853353,Cm,8
mp-643710,R-3m,166
mp-20916,P6_3/mcm,193
mp-542136,R3c,161
mp-28520,I4cm,108
mp-17381,Cmcm,63
mp-978882,Fm-3m,225
mp-763860,P-3m1,164
mp-558105,Pna2_1,33
mp-770549,Cm,8
mp-772232,C222_1,20
mp-12773,I4/mcm,140
mp-30424,Pm-3n,223
mp-24214,P2_1/c,14
mp-763321,Pbcn,60
mp-23905,P-1,2
mp-568366,F-43m,216
mp-706446,P2_1/m,11
mp-623028,Fddd,70
mp-581488,P-1,2
mp-756176,C2/c,15
mp-672981,P2_1/c,14
mp-21447,P4/mcc,124
mp-5491,Fm-3m,225
mp-20525,Pnma,62
mp-540693,Cmce,64
mp-683907,C2/c,15
mp-1654,Fd-3m,227
mp-25705,C2/c,15
mp-772040,P-1,2
mp-972022,Fm-3m,225
mp-853133,C2,5
mp-24546,P2_1/c,14
mp-570683,Fm-3m,225
mp-976925,Cm,8
mp-553898,P2/c,13
mp-558864,R-3,148
mp-972176,P6_3/mcm,193
mp-24227,Fm-3m,225
mp-773135,P1,1
mp-585308,P2_1/c,14
mp-3161,F-43m,216
mp-555506,Fm-3m,225
mp-772371,P1,1
mp-626378,P2_1/c,14
mp-27499,Pnma,62
mp-974745,I4/mmm,139
mp-767409,P4/mmm,123
mp-22007,C2/m,12
mp-744776,Pbca,61
mp-779990,P2_1/c,14
mp-22907,Fm-3m,225
mp-20670,I4/mmm,139
mp-9575,P6_3mc,186
mp-776283,P1,1
mp-744831,Cmce,64
mp-867129,P2/c,13
mp-757688,Cmc2_1,36
mp-6211,P2_1/c,14
mp-683984,Pca2_1,29
mp-605691,P-1,2
mp-763730,Pbcn,60
mp-28324,Pnnm,58
mp-767794,P4_322,95
mp-684104,Pc,7
mp-644223,P6_3mc,186
mp-761428,P1,1
mp-765552,C2/c,15
mp-764920,C2/c,15
mp-621612,C2/c,15
mp-24749,P2_1/c,14
mp-32048,P2_1/c,14
mp-12780,P4/nmm,129
mp-558050,I4/mmm,139
mp-555741,P-1,2
mp-767516,P2_1/c,14
mp-767680,Cm,8
mp-868222,P1,1
mp-773603,P2_1/c,14
mp-21767,R-3c,167
mp-554781,P6_3,173
mp-642811,C2/m,12
mp-851005,P1,1
mp-16033,I4/mmm,139
mp-773347,P2/m,10
mp-764002,P1,1
mp-7759,P6_3/mmc,194
mp-769480,Pbcn,60
mp-2192,P6_3/mmc,194
mp-541147,P-1,2
mp-764724,C2/c,15
mp-755666,P-3m1,164
mp-764266,P1,1
mp-30501,I4/mmm,139
mp-40374,R3m,160
mp-550547,Cm,8
mp-3481,P6_3mc,186
mp-17224,C2/c,15
mp-770039,P-1,2
mp-672235,Fd-3m,227
mp-754955,Pnma,62
mp-1716,Pbcn,60
mp-976593,P6_3/mmc,194
mp-16770,Cmcm,63
mp-27709,Pnnm,58
mp-710,Fm-3m,225
mp-25144,Pnma,62
mp-759796,Pm,6
mp-565885,Pbca,61
mp-669376,Pnma,62
mp-20004,P6_3/mmc,194
mp-772030,Imma,74
mp-972424,Fm-3m,225
mp-744181,P3_1,144
mp-868383,P2_1/c,14
mp-680280,P2_1/c,14
mp-20628,Fd-3m,227
mp-632502,P4_2/mnm,136
mp-18037,P4_322,95
mp-565354,P2_1,4
mp-41191,Fmm2,42
mp-756490,P4_2/nmc,137
mp-680306,P2_1/c,14
mp-767986,Cm,8
mp-756106,P2_1/m,11
mp-978258,Pmma,51
mp-781504,P2_1/c,14
mp-621945,P1,1
mp-763313,P2_1,4
mp-767140,P-1,2
mp-558382,Cmcm,63
mp-770607,P-1,2
mp-743586,P2_1/c,14
mp-568729,P4_2/mnm,136
mp-555544,Fddd,70
mp-757434,P3,143
mp-644514,C2/m,12
mp-769676,C2/m,12
mp-763658,P1,1
mp-12569,P4/mbm,127
mp-767328,P1,1
mp-676282,P1,1
mp-764511,P2,3
mp-765831,P1,1
mp-772958,P2_1/c,14
mp-565943,C2/c,15
mp-2194,P-3m1,164
mp-672275,Fm-3m,225
mp-8257,Ibam,72
mp-868759,C2/m,12
mp-569531,Pnma,62
mp-770295,Cm,8
mp-771598,R3,146
mp-622009,Pnma,62
mp-773269,Pm,6
mp-9680,P2_1/c,14
mp-672261,Pnma,62
mp-542888,P6_3,173
mp-574112,C2/c,15
mp-763012,R-3m,166
mp-763516,P6_422,181
mp-22253,P3m1,156
mp-6078,C2/c,15
mp-557417,P2_1/c,14
mp-4001,P6_3/mmc,194
mp-600109,P4_2/ncm,138
mp-772486,P3_121,152
mp-686717,P1,1
mp-15236,Pnma,62
mp-24504,P6_3/mmc,194
mp-779354,Amm2,38
mp-762908,P2_1/c,14
mp-770029,Imm2,44
mp-698114,C2/c,15
mp-11957,Cmcm,63
mp-674334,P2_1/c,14
mp-505825,P-3m1,164
mp-9344,P2_1/m,11
mp-14556,P2_1/c,14
mp-637213,R-3m,166
mp-773599,P2_1/c,14
mp-20744,Fm-3m,225
mp-764764,C2/m,12
mp-568476,Cmc2_1,36
mp-3043,R-3,148
mp-722310,P-1,2
mp-767075,Cmcm,63
mp-696845,C2/m,12
mp-554388,P1,1
mp-744260,Pbca,61
mp-774623,P2_1/c,14
mp-53,Pm-3m,221
mp-542943,I-4,82
mp-766254,P2_12_12_1,19
mp-720876,P2_1/c,14
mp-775827,P1,1
mp-753226,R-3m,166
mp-763407,Pbcn,60
mp-554891,P6_3/mmc,194
mp-973466,Pm-3m,221
mp-685281,R-3,148
mp-8758,Amm2,38
mp-776805,Cm,8
mp-622126,C2/c,15
mp-31731,Pc,7
mp-762820,P1,1
mp-770316,P2/m,10
mp-581991,Pmma,51
mp-573743,P-1,2
mp-765678,P6_3mc,186
mp-557985,P2_1/c,14
mp-28790,Cm,8
mp-767143,Cm,8
mp-567975,P-1,2
mp-14589,Cmce,64
mp-34688,C2/c,15
mp-770915,Cm,8
mp-763919,Imm2,44
mp-556609,P2_1,4
mp-20122,Cmcm,63
mp-761589,Cc,9
mp-29455,C2/m,12
mp-19352,P-3m1,164
mp-30848,F-43m,216
mp-8937,I4/mmm,139
mp-754824,P6_3/mmc,194
mp-4596,I4/mmm,139
mp-29447,Pnna,52
mp-637736,Ima2,46
mp-557798,Pnma,62
mp-25514,R-3,148
mp-767470,Pca2_1,29
mp-763386,Ama2,40
mp-15819,P6_3/mmc,194
mp-762673,Cc,9
mp-11550,Pnma,62
mp-581868,Cc,9
