,sg_symbol,sg_number
mp-561664,P2_12_12_1,19
mp-770220,C2/c,15
mp-850249,P1,1
mp-763050,P1,1
mp-777529,C2,5
mp-766325,Cm,8
mp-581217,Pnna,52
mp-758281,P2_1/c,14
mp-753418,Fd-3m,227
mp-757102,I4_1/acd,142
mp-762599,R3,146
mp-771858,C2/m,12
mp-15965,P6_3/mcm,193
mp-637263,P4_2/m,84
mp-684654,P1,1
mp-9391,P2_1/m,11
mp-651122,P2_1/c,14
mp-19,P3_121,152
mp-17474,I4_1/amd,141
mp-559911,P4/nmm,129
mp-565464,Fdd2,43
mp-18132,Pnma,62
mp-510596,P4/nmm,129
mp-762041,R3,146
mp-767289,Pm,6
mp-30945,C2/m,12
mp-780922,Pmmn,59
mp-755435,I4/mcm,140
mp-680482,P-1,2
mp-868265,P-1,2
mp-34460,R-3m,166
mp-510551,Pbam,55
mp-756718,P-1,2
mp-974057,P-6,174
mp-769494,Pc,7
mp-623058,Pnma,62
mp-27893,Pnma,62
mp-1910,P6/mmm,191
mp-868648,P-1,2
mp-761678,P1,1
mp-13067,P-3m1,164
mp-605809,I4/mcm,140
mp-578912,P6_3/m,176
mp-554529,Pna2_1,33
mp-752675,C2/c,15
mp-754768,Fd-3m,227
mp-4484,I4/mmm,139
mp-11368,P6_3/mcm,193
mp-756560,C2/c,15
mp-21620,P4/mnc,128
mp-11971,P-62m,189
mp-542705,Pna2_1,33
mp-569515,Pca2_1,29
mp-850362,P1,1
mp-769500,P-1,2
mp-12453,Pnma,62
mp-637617,P2_1/c,14
mp-772605,P2_1,4
mp-559393,P2_1/c,14
mp-3474,R-3c,167
mp-3395,P2_1/m,11
mp-763130,P1,1
mp-764034,Imma,74
mp-22853,C2/m,12
mp-7142,P-6m2,187
mp-763892,P1,1
mp-764358,Cc,9
mp-703348,P2_1/c,14
mp-10700,Pm-3m,221
mp-6951,Pm-3m,221
mp-766614,C2,5
mp-570379,Fm-3m,225
mp-767246,P-1,2
mp-771663,P2/m,10
mp-774886,Cm,8
mp-558865,P2_1/c,14
mp-14628,R-3,148
mp-9983,P2_1/m,11
mp-32389,C2,5
mp-770651,P2/m,10
mp-555952,P2_1/c,14
mp-568493,P2_1/c,14
mp-24968,P4/nmm,129
mp-770102,C2/m,12
mp-551283,C2/m,12
mp-654937,C2/c,15
mp-560102,Pca2_1,29
mp-676566,Cm,8
mp-767034,Imma,74
mp-973232,Pm-3m,221
mp-31284,P-42_1m,113
mp-17113,Fd-3m,227
mp-554646,Cc,9
mp-757660,P2_1/c,14
mp-770110,Cm,8
mp-571288,Ama2,40
mp-27246,Pmmn,59
mp-631661,F-43m,216
mp-765074,P-1,2
mp-777028,P-1,2
mp-972971,Fm-3m,225
mp-28263,P2_1/c,14
mp-763855,P2_1,4
mp-694890,C2,5
mp-769976,P2_1,4
mp-646824,Im-3m,229
mp-570388,P2_1/m,11
mp-15727,Im-3,204
mp-761425,R3,146
mp-7812,P4_12_12,92
mp-19694,Pbcn,60
mp-972635,Fm-3m,225
mp-780203,P1,1
mp-669382,P6_3mc,186
mp-11628,R-3m,166
mp-753831,C2/c,15
mp-608080,P-3c1,165
mp-615789,P2/m,10
mp-680434,P6/mmm,191
mp-2572,P6_3/mmc,194
mp-755549,P4_2/mnm,136
mp-863382,P4/ncc,130
mp-637295,R-3,148
mp-754093,Fd-3m,227
mp-768237,Pnma,62
mp-557373,I-42m,121
mp-655448,Cmcm,63
mp-769653,P1,1
mp-772693,P2_1,4
mp-31738,P2_12_12_1,19
mp-4117,Ccc2,37
mp-1727,I4_1/amd,141
mp-540026,C2/m,12
mp-562569,Pnma,62
mp-762841,R3c,161
mp-763362,Pna2_1,33
mp-752701,P-1,2
mp-764316,P2_1/c,14
mp-958,Pm-3n,223
mp-685003,I-42d,122
mp-28878,C2/c,15
mp-677095,I4_1/acd,142
mp-625094,P1,1
mp-17886,P2_1/c,14
mp-766158,Cmmm,65
mp-983551,Fm-3m,225
mp-767596,Pnma,62
mp-22528,Pbam,55
mp-22384,P-62m,189
mp-505365,P-3m1,164
mp-25708,Pca2_1,29
mp-21222,P4/mbm,127
mp-13125,I4mm,107
mp-30274,P4/nmm,129
mp-3048,P-3m1,164
mp-566919,Cmcm,63
mp-6539,Pna2_1,33
mp-753314,I4/mmm,139
mp-38394,I422,97
mp-579224,Ia-3,206
mp-696735,P4_12_12,92
mp-625631,Pna2_1,33
mp-541459,Pna2_1,33
mp-1812,P6_3/mcm,193
mp-625475,C2,5
mp-770978,P2_1/m,11
mp-22562,I4/mmm,139
mp-981530,Fm-3m,225
mp-627123,P1,1
mp-17283,Pnma,62
mp-850750,P1,1
mp-4556,P2_1/c,14
mp-763253,Pc,7
mp-696683,C2/c,15
mp-4156,C2/c,15
mp-645979,Pmc2_1,26
mp-604304,Pnnm,58
mp-764527,Cmc2_1,36
mp-12781,Cmcm,63
mp-6388,Cm,8
mp-573855,P6_3mc,186
mp-585241,P2_1/c,14
mp-24207,P2_1/c,14
mp-762620,P2_12_12_1,19
mp-674644,P1,1
mp-572833,P2_1/c,14
mp-707839,P2_1/c,14
mp-560054,Pmmn,59
mp-567196,P321,150
mp-979963,Pm-3m,221
mp-767462,P2_1/m,11
mp-778387,I4cm,108
mp-774097,P1,1
mp-558198,C2/c,15
mp-631404,F-43m,216
mp-755313,R-3c,167
mp-557993,C2/c,15
mp-770365,R-3,148
mp-623448,Pm-3m,221
mp-29337,P2_1/m,11
mp-556340,Pmc2_1,26
mp-777322,P-1,2
mp-17332,P6_3/mcm,193
mp-504259,P-42_1c,114
mp-676935,P1,1
mp-585305,P-3c1,165
mp-30292,C2/c,15
mp-24640,Pbca,61
mp-761365,Cm,8
mp-669496,Pbca,61
mp-669684,Pnma,62
mp-27577,C2/c,15
mp-975838,P6_3/mmc,194
mp-19420,I4/m,87
mp-6018,P6_3/mmc,194
mp-778408,R-3c,167
mp-4998,I4_1/acd,142
mp-761665,C2/c,15
mp-32538,P-1,2
mp-767538,P2_1,4
mp-22085,P6_3mc,186
mp-27816,R32,155
mp-5365,P6_3/mmc,194
mp-22503,Fm-3m,225
mp-12595,Pmma,51
mp-542629,R-3,148
mp-775564,P2_12_12_1,19
mp-640926,Pmn2_1,31
mp-761453,P-1,2
mp-16624,R-3c,167
mp-556464,P-31c,163
mp-673845,Imma,74
mp-756202,P2_1/c,14
mp-761435,P2_1/c,14
mp-979074,Fm-3m,225
mp-780178,R3,146
mp-504963,P4_2/mnm,136
mp-780641,Pnma,62
mp-27302,Pbca,61
mp-753979,P-1,2
mp-9007,P6_3mc,186
mp-762787,Pnma,62
mp-29850,P2_1/c,14
mp-771407,P2_1/c,14
mp-853228,P-1,2
mp-1649,Pm-3m,221
mp-7144,Pm-3m,221
mp-540323,P2_1/c,14
mp-556702,P-6,174
mp-568402,I4/mmm,139
mp-28044,R-3c,167
mp-974747,P6_3/mmc,194
mp-383,P6_3/mmc,194
mp-29473,P2_1/c,14
mp-27262,Pbam,55
mp-31086,Pnma,62
mp-569085,P2_1/c,14
mp-24871,Fm-3,202
mp-14232,I-42d,122
mp-684006,P2_1/c,14
mp-30790,Pm-3n,223
mp-766785,P1,1
mp-30284,P-31m,162
mp-32329,P-1,2
mp-976151,Fm-3m,225
mp-773040,P2_1,4
mp-771394,Cm,8
mp-154,P2_13,198
mp-674159,Cmce,64
mp-23541,I4/mcm,140
mp-24523,Pa-3,205
mp-756587,P6_3mc,186
mp-764983,C2,5
mp-772416,R3,146
mp-667426,Pbcn,60
mp-23404,Pnma,62
mp-755399,P2/m,10
mp-3719,Pnma,62
mp-752394,Pbcn,60
mp-972981,Cmcm,63
mp-510421,Ama2,40
mp-850983,C2/c,15
mp-773274,C2/m,12
mp-24279,R-3,148
mp-19810,Pmna,53
mp-541002,Pnma,62
mp-556826,Pna2_1,33
mp-626563,P1,1
mp-765320,P2_1/c,14
mp-761891,C2/m,12
mp-24273,P-1,2
mp-770768,Fd-3,203
mp-770265,P-1,2
mp-574822,P-1,2
mp-3370,Fd-3m,227
mp-4320,Pnma,62
mp-28481,C2/c,15
mp-765668,C2,5
mp-557935,P2_1/c,14
mp-690515,P-1,2
mp-646297,Fd-3m,227
mp-30005,R-3c,167
mp-769520,P-1,2
mp-762173,Pnma,62
mp-740714,P2_1/c,14
mp-31466,Pnma,62
mp-5029,Pna2_1,33
mp-672374,Fm-3m,225
mp-764382,P1,1
mp-757115,Ama2,40
mp-560908,C2/m,12
mp-21438,P-62m,189
mp-27145,Pnma,62
mp-123,P6_3/mmc,194
mp-570796,P2_1/c,14
mp-770754,R3c,161
mp-757905,C2/m,12
mp-601210,P2_1/c,14
mp-773694,P-62c,190
mp-644118,Fdd2,43
mp-765525,Imm2,44
mp-622195,P2_1/c,14
mp-6127,P4/ncc,130
mp-7245,Imma,74
mp-28695,Pnma,62
mp-16253,Pnma,62
mp-776788,P-1,2
mp-614572,Pnma,62
